driver_name,car_number,team_name,manufacturer,season_year,race_number,race_pos,quali_pos,stage_1_pos,stage_2_pos,stage_3_pos,laps_led,status,season_points,finish_position_points,stage_points,playoff_points
Kurt Busch,45,23XI Racing,Toyota,2022,6,32,11,0,0,0,0,running,5,5,0,0
A.J. Allmendinger,16,Kaulig Racing,Chevrolet,2022,6,33,20,0,0,0,2,running,0,4,0,0
Loris Hezemans,27,Team Hezeberg,Ford,2022,6,34,36,0,0,0,0,rear gear,0,3,0,0
Joey Hand,15,Rick Ware Racing,Ford,2022,6,35,38,0,0,0,0,suspension,2,2,0,0
Corey LaJoie,7,Spire Motorsports,Chevrolet,2022,6,36,32,0,0,0,0,engine,1,1,0,0
Ricky Stenhouse Jr,47,JTG Daugherty Racing,Chevrolet,2022,6,37,28,0,0,0,0,drivetrain,1,1,0,0
Bubba Wallace,23,23XI Racing,Toyota,2022,6,38,23,0,10,0,0,suspension,2,1,1,0
Andy Lally,78,Live Fast Motorsports,Ford,2022,6,39,39,0,0,0,0,suspension,0,1,0,0
Denny Hamlin,11,Joe Gibbs Racing,Toyota,2022,7,1,13,0,0,0,5,running,40,40,0,5
Kevin Harvick,4,Stewart-Haas Racing,Ford,2022,7,2,7,10,7,0,0,running,40,35,5,0
William Byron,24,Hendrick Motorsports,Chevrolet,2022,7,3,2,2,0,0,122,running,43,34,9,0
Martin Truex Jr,19,Joe Gibbs Racing,Toyota,2022,7,4,6,4,1,0,80,running,50,33,17,1
Kyle Larson,5,Hendrick Motorsports,Chevrolet,2022,7,5,21,0,9,0,0,running,34,32,2,0
Christopher Bell,20,Joe Gibbs Racing,Toyota,2022,7,6,9,7,2,0,63,running,44,31,13,0
Ryan Blaney,12,Team Penske,Ford,2022,7,7,1,1,5,0,128,running,46,30,16,1
Alex Bowman,48,Hendrick Motorsports,Chevrolet,2022,7,8,28,0,0,0,0,running,29,29,0,0
Kyle Busch,18,Joe Gibbs Racing,Toyota,2022,7,9,3,5,8,0,1,running,37,28,9,0
Austin Dillon,3,Richard Childress Racing,Chevrolet,2022,7,10,25,0,0,0,0,running,27,27,0,0
Chase Briscoe,14,Stewart-Haas Racing,Ford,2022,7,11,4,0,0,0,0,running,26,26,0,0
Tyler Reddick,8,Richard Childress Racing,Chevrolet,2022,7,12,16,0,0,0,0,running,25,25,0,0
Brad Keselowski,6,RFK Racing,Ford,2022,7,13,19,9,10,0,0,running,27,24,3,0
Chase Elliott,9,Hendrick Motorsports,Chevrolet,2022,7,14,15,6,6,0,0,running,33,23,10,0
Chris Buescher,17,RFK Racing,Ford,2022,7,15,18,0,0,0,0,running,22,22,0,0
Daniel Suarez,99,Trackhouse Racing,Chevrolet,2022,7,16,14,0,0,0,0,running,21,21,0,0
Joey Logano,22,Team Penske,Ford,2022,7,17,11,8,4,0,1,running,30,20,10,0
Harrison Burton,21,Wood Brothers Racing,Ford,2022,7,18,17,0,0,0,0,running,19,19,0,0
Ross Chastain,1,Trackhouse Racing,Chevrolet,2022,7,19,8,3,3,0,0,running,34,18,16,0
