driver_name,start_pos,mid_race_pos,finish_pos,highest_pos,lowest_pos,avg_pos,pass_diff,green_flag_passes,green_flag_times_passed,quality_passes,pct_quality_passes,fastest_lap,top_15_laps,pct_top_15_laps,laps_led,pct_laps_led,total_laps,driver_rating,season_year,race_number
Kurt Busch,5,6,1,1,17,5.0,2,50,48,48,96.0,70,265,99.3,116.0,43.4,267,137.2,2022,13
Kyle Larson,3,11,2,1,24,6.0,8,67,59,52,77.6,19,261,97.8,29.0,10.9,267,117.9,2022,13
Kyle Busch,6,10,3,1,24,5.0,11,64,53,47,73.4,37,252,94.4,18.0,6.7,267,124.0,2022,13
Denny Hamlin,18,22,4,2,31,12.0,76,121,45,44,36.4,9,169,63.3,0.0,0.0,267,93.6,2022,13
Christopher Bell,1,21,5,1,24,8.0,23,72,49,40,55.6,22,221,82.8,37.0,13.9,267,109.4,2022,13
Martin Truex Jr,9,8,6,1,28,10.0,-6,71,77,45,63.4,7,212,79.4,0.0,0.0,267,99.9,2022,13
Ross Chastain,11,19,7,1,23,7.0,11,62,51,46,74.2,3,247,92.5,4.0,1.5,267,104.6,2022,13
Ricky Stenhouse Jr,36,18,8,1,36,13.0,17,96,79,43,44.8,0,196,73.4,3.0,1.1,267,82.2,2022,13
Alex Bowman,8,16,9,5,21,10.0,-15,64,79,44,68.8,1,229,85.8,0.0,0.0,267,90.1,2022,13
Bubba Wallace,24,20,10,4,27,13.0,51,123,72,60,48.8,2,173,64.8,0.0,0.0,267,81.8,2022,13
Austin Cindric,4,12,11,3,31,12.0,-13,48,61,37,77.1,2,213,79.8,0.0,0.0,267,84.0,2022,13
Ryan Blaney,10,7,12,1,25,8.0,-29,47,76,43,91.5,3,241,90.3,1.0,0.4,267,93.2,2022,13
Austin Dillon,21,27,13,3,30,20.0,-39,62,101,19,30.6,0,91,34.1,0.0,0.0,267,64.7,2022,13
Brad Keselowski,30,9,14,4,34,17.0,-12,81,93,31,38.3,0,155,58.1,0.0,0.0,267,70.3,2022,13
Kevin Harvick,23,26,15,10,30,18.0,11,101,90,27,26.7,0,86,32.2,0.0,0.0,267,69.0,2022,13
William Byron,13,25,16,1,32,14.0,-17,67,84,28,41.8,14,149,55.8,25.0,9.4,267,79.7,2022,13
Joey Logano,34,13,17,2,34,16.0,9,85,76,32,37.6,0,127,47.6,0.0,0.0,267,67.8,2022,13
Noah Gragson,28,4,18,4,30,21.0,5,86,81,16,18.6,0,38,14.2,0.0,0.0,267,54.0,2022,13
Corey LaJoie,20,29,19,1,31,24.0,-33,55,88,1,1.8,0,6,2.2,0.0,0.0,267,46.0,2022,13
Ty Dillon,17,14,20,5,27,21.0,-29,79,108,10,12.7,0,25,9.4,0.0,0.0,267,52.5,2022,13
Harrison Burton,26,3,21,3,28,20.0,-19,77,96,18,23.4,0,74,27.7,0.0,0.0,267,55.7,2022,13
Cole Custer,16,2,22,2,28,20.0,-13,82,95,16,19.5,0,35,13.1,0.0,0.0,267,54.5,2022,13
Michael McDowell,25,15,23,4,26,18.0,2,62,60,15,24.2,0,52,19.5,0.0,0.0,267,57.7,2022,13
Chase Briscoe,12,23,24,9,36,23.0,-3,69,72,5,7.2,0,8,3.0,0.0,0.0,266,45.8,2022,13
Todd Gilliland,31,17,25,8,35,26.0,-9,41,50,2,4.9,0,10,3.8,0.0,0.0,266,38.0,2022,13
Aric Almirola,7,31,26,5,31,24.0,5,26,21,11,42.3,0,60,22.6,0.0,0.0,266,50.7,2022,13
Chris Buescher,35,24,27,10,35,26.0,5,60,55,3,5.0,1,11,4.2,0.0,0.0,265,43.4,2022,13
Josh Bilicki,33,5,28,5,36,28.0,-7,37,44,1,2.7,0,10,3.8,0.0,0.0,265,33.7,2022,13
Chase Elliott,14,1,29,1,31,15.0,37,80,43,43,53.8,0,158,59.8,10.0,3.8,264,70.3,2022,13
Tyler Reddick,2,30,30,1,32,18.0,-23,28,51,17,60.7,17,115,43.7,24.0,9.1,263,96.2,2022,13
J.J. Yeley,27,28,31,26,35,31.0,-8,23,31,0,0.0,0,0,0.0,0.0,0.0,263,31.3,2022,13
Erik Jones,22,34,32,3,34,26.0,4,33,29,15,45.5,1,57,21.8,0.0,0.0,261,54.4,2022,13
Daniel Suarez,19,33,33,3,35,27.0,11,20,9,12,60.0,1,58,22.7,0.0,0.0,256,61.1,2022,13
Cody Ware,29,32,34,29,36,34.0,-8,9,17,0,0.0,0,0,0.0,0.0,0.0,255,26.5,2022,13
Justin Haley,15,35,35,13,35,33.0,-3,15,18,3,20.0,0,1,1.6,0.0,0.0,64,30.2,2022,13
B.J. McLeod,32,36,36,32,36,36.0,-1,4,5,0,0.0,0,0,0.0,0.0,0.0,32,23.3,2022,13
Denny Hamlin,1,5,1,1,25,7.0,-3,123,126,115,93.5,2,398,96.4,15.0,3.6,413,114.9,2022,14
Kyle Busch,4,4,2,1,35,13.0,16,132,116,78,59.1,17,280,67.8,36.0,8.7,413,97.0,2022,14
Kevin Harvick,18,12,3,3,33,17.0,17,169,152,81,47.9,0,222,53.8,0.0,0.0,413,73.8,2022,14
Chase Briscoe,15,8,4,1,29,9.0,17,118,101,81,68.6,20,325,78.7,2.0,0.5,413,104.2,2022,14
Christopher Bell,3,3,5,2,31,12.0,9,151,142,115,76.2,25,263,63.7,0.0,0.0,413,98.4,2022,14
Tyler Reddick,8,10,6,1,25,8.0,-9,115,124,107,93.0,19,339,82.1,19.0,4.6,413,113.6,2022,14
Ricky Stenhouse Jr,29,11,7,3,32,14.0,36,196,160,119,60.7,5,282,68.3,0.0,0.0,413,79.9,2022,14
Michael McDowell,10,26,8,5,32,18.0,-7,147,154,46,31.3,0,124,30.0,0.0,0.0,413,67.8,2022,14
