driver_name,season_year,race_number,race_season_points,wins,stage_wins,race_playoff_points,race_finish_points,race_stage_points
Corey LaJoie,2022,12,2,0,0,0,2,0
Kyle Larson,2022,12,1,0,0,0,1,0
Kurt Busch,2022,13,50,1,1,6,40,10
Kyle Larson,2022,13,40,0,0,0,35,5
Kyle Busch,2022,13,53,0,1,1,34,19
Denny Hamlin,2022,13,36,0,0,0,33,3
Christopher Bell,2022,13,32,0,0,0,32,0
Martin Truex Jr,2022,13,36,0,0,0,31,5
Ross Chastain,2022,13,43,0,0,0,30,13
Ricky Stenhouse Jr,2022,13,29,0,0,0,29,0
Alex Bowman,2022,13,29,0,0,0,28,1
Bubba Wallace,2022,13,32,0,0,0,27,5
Austin Cindric,2022,13,33,0,0,0,26,7
Ryan Blaney,2022,13,35,0,0,0,25,10
Austin Dillon,2022,13,24,0,0,0,24,0
Brad Keselowski,2022,13,23,0,0,0,23,0
Kevin Harvick,2022,13,22,0,0,0,22,0
William Byron,2022,13,27,0,0,0,21,6
Joey Logano,2022,13,22,0,0,0,20,2
Noah Gragson,2022,13,0,0,0,0,19,0
Corey LaJoie,2022,13,18,0,0,0,18,0
Ty Dillon,2022,13,17,0,0,0,17,0
Harrison Burton,2022,13,16,0,0,0,16,0
Cole Custer,2022,13,15,0,0,0,15,0
Michael McDowell,2022,13,14,0,0,0,14,0
Chase Briscoe,2022,13,13,0,0,0,13,0
Todd Gilliland,2022,13,12,0,0,0,12,0
Aric Almirola,2022,13,11,0,0,0,11,0
Chris Buescher,2022,13,10,0,0,0,10,0
Josh Bilicki,2022,13,0,0,0,0,9,0
Chase Elliott,2022,13,22,0,0,0,8,14
Tyler Reddick,2022,13,14,0,0,0,7,7
J.J. Yeley,2022,13,0,0,0,0,6,0
Erik Jones,2022,13,8,0,0,0,5,3
Daniel Suarez,2022,13,4,0,0,0,4,0
Cody Ware,2022,13,3,0,0,0,3,0
Justin Haley,2022,13,2,0,0,0,2,0
B.J. McLeod,2022,13,1,0,0,0,1,0
Denny Hamlin,2022,14,42,1,0,5,40,2
Kyle Busch,2022,14,35,0,0,0,35,0
Kevin Harvick,2022,14,38,0,0,0,34,4
Chase Briscoe,2022,14,49,0,0,0,33,16
Christopher Bell,2022,14,41,0,0,0,32,9
Tyler Reddick,2022,14,50,0,0,0,31,19
Ricky Stenhouse Jr,2022,14,40,0,0,0,30,10
Michael McDowell,2022,14,29,0,0,0,29,0
Kyle Larson,2022,14,36,0,0,0,28,8
Alex Bowman,2022,14,29,0,0,0,27,2
Harrison Burton,2022,14,26,0,0,0,26,0
Martin Truex Jr,2022,14,30,0,0,0,25,5
Ty Dillon,2022,14,24,0,0,0,24,0
Erik Jones,2022,14,31,0,0,0,23,8
Ross Chastain,2022,14,48,0,1,1,22,26
Todd Gilliland,2022,14,21,0,0,0,21,0
Aric Almirola,2022,14,20,0,0,0,20,0
Cody Ware,2022,14,19,0,0,0,19,0
B.J. McLeod,2022,14,18,0,0,0,18,0
Joey Logano,2022,14,27,0,0,0,17,10
Cole Custer,2022,14,20,0,0,0,16,4
Austin Dillon,2022,14,17,0,0,0,15,2
Kaz Grala,2022,14,0,0,0,0,14,0
Noah Gragson,2022,14,0,0,0,0,13,0
Daniel Suarez,2022,14,28,0,1,1,12,16
Chris Buescher,2022,14,14,0,0,0,11,3
Justin Haley,2022,14,10,0,0,0,10,0
Bubba Wallace,2022,14,15,0,0,0,9,6
Ryan Blaney,2022,14,13,0,0,0,8,5
Brad Keselowski,2022,14,7,0,0,0,7,0
Kurt Busch,2022,14,6,0,0,0,6,0
William Byron,2022,14,5,0,0,0,5,0
Chase Elliott,2022,14,14,0,1,1,4,10
Austin Cindric,2022,14,3,0,0,0,3,0
Corey LaJoie,2022,14,2,0,0,0,2,0
Josh Bilicki,2022,14,0,0,0,0,1,0
Ryan Preece,2022,14,0,0,0,0,1,0
Joey Logano,2022,15,44,1,0,5,40,4
